"('Close', 'ADBE')","('High', 'ADBE')","('Low', 'ADBE')","('Open', 'ADBE')","('Volume', 'ADBE')",sentiment_score,sentiment_label
350.9100036621094,362.04998779296875,348.5,359.510009765625,3286000.0,0.0102,neutral
350.3800048828125,356.489990234375,349.19000244140625,351.04998779296875,3030400.0,0.0287,neutral
344.19000244140625,350.3800048828125,341.30999755859375,345.0,3687900.0,0.0146,neutral
348.79998779296875,351.8800048828125,345.0899963378906,349.75,5206500.0,0.0141,neutral
343.2200012207031,346.67999267578125,338.6400146484375,344.57000732421875,3691200.0,0.0276,neutral
349.9100036621094,352.0799865722656,344.3699951171875,349.1400146484375,3250400.0,0.0271,neutral
351.9599914550781,363.0,349.79998779296875,358.1199951171875,3168000.0,0.0271,neutral
360.9100036621094,361.1199951171875,353.25,353.5899963378906,3085100.0,0.0262,neutral
367.7200012207031,369.30999755859375,359.989990234375,361.70001220703125,3499300.0,0.0121,neutral
368.6199951171875,370.989990234375,364.5799865722656,368.04998779296875,3163400.0,0.0195,neutral
370.9800109863281,373.8800048828125,366.8800048828125,367.2099914550781,2198300.0,0.0193,neutral
374.9800109863281,376.0,363.55999755859375,366.8699951171875,3305500.0,0.0066,neutral
374.6300048828125,380.44000244140625,374.07000732421875,378.29998779296875,2848800.0,0.0151,neutral
380.8699951171875,383.55999755859375,379.19000244140625,380.0899963378906,2340700.0,0.0251,neutral
381.05999755859375,384.5400085449219,378.3999938964844,379.2900085449219,2095600.0,0.0326,neutral
382.9800109863281,386.5199890136719,375.04998779296875,376.57000732421875,2970100.0,0.0379,neutral
384.9700012207031,387.8299865722656,380.95001220703125,384.70001220703125,2153000.0,0.0272,neutral
383.989990234375,388.7300109863281,383.3999938964844,388.29998779296875,3383900.0,0.0269,neutral
383.2799987792969,388.7699890136719,382.3299865722656,386.17999267578125,2030800.0,0.0392,neutral
