"('Close', 'ABT')","('High', 'ABT')","('Low', 'ABT')","('Open', 'ABT')","('Volume', 'ABT')",sentiment_score,sentiment_label
127.3699951171875,127.90750617115829,126.25515653181665,126.41442244153387,6988500.0,0.0615,positive
126.22000122070312,128.49000549316406,125.5999984741211,127.62000274658203,8639400.0,0.0591,positive
129.6999969482422,134.16000366210938,129.00999450683594,129.6999969482422,13483200.0,0.0558,positive
130.97999572753906,132.7100067138672,129.66000366210938,130.3800048828125,10460000.0,0.1565,positive
129.88999938964844,131.9600067138672,128.50999450683594,130.97000122070312,6046700.0,0.1676,positive
131.72999572753906,132.02999877929688,129.92999267578125,129.92999267578125,5837100.0,0.1676,positive
129.83999633789062,132.88999938964844,127.12999725341797,132.2100067138672,8777100.0,0.1676,positive
129.3800048828125,130.1999969482422,128.02999877929688,130.02000427246094,6595500.0,0.1676,positive
128.85000610351562,129.52999877929688,127.23999786376953,129.27000427246094,4849100.0,0.1654,positive
129.52999877929688,130.1199951171875,128.52000427246094,129.3300018310547,3843300.0,0.1654,positive
130.5,131.27000427246094,128.8000030517578,128.88999938964844,4315300.0,0.1775,positive
130.75,131.27000427246094,128.67999267578125,130.9199981689453,8510500.0,0.1775,positive
130.8800048828125,131.6300048828125,128.0,129.5,6769100.0,0.1753,positive
132.82000732421875,136.8000030517578,131.3300018310547,131.91000366210938,9801400.0,0.1843,positive
132.60000610351562,133.05999755859375,131.4499969482422,132.88999938964844,5752000.0,0.1933,positive
133.05999755859375,133.60000610351562,130.6999969482422,131.9499969482422,6290500.0,0.1615,positive
133.9499969482422,134.42999267578125,132.42999267578125,133.5,4924900.0,0.1615,positive
134.0,135.22000122070312,133.0800018310547,133.25999450683594,5994500.0,0.1777,positive
133.24000549316406,134.97000122070312,133.19000244140625,133.97999572753906,4976100.0,0.174,positive
