"('Close', 'APD')","('High', 'APD')","('Low', 'APD')","('Open', 'APD')","('Volume', 'APD')",sentiment_score,sentiment_label
272.5799865722656,274.510009765625,269.2200012207031,272.07000732421875,818000.0,-0.0786,negative
265.29998779296875,271.0,265.239990234375,267.0199890136719,1305300.0,-0.0786,negative
261.32000732421875,268.1400146484375,259.0,265.9100036621094,1556800.0,-0.1355,negative
262.8999938964844,265.739990234375,262.3599853515625,263.4200134277344,2233300.0,-0.1493,negative
257.5799865722656,262.8999938964844,254.0399932861328,261.3900146484375,1082900.0,-0.1643,negative
265.3599853515625,267.3900146484375,259.0799865722656,259.8999938964844,1463900.0,-0.1608,negative
264.739990234375,273.5899963378906,262.9200134277344,269.70001220703125,1001400.0,-0.1608,negative
268.8500061035156,269.3299865722656,263.1099853515625,265.8999938964844,813600.0,-0.1608,negative
267.1099853515625,268.6000061035156,264.739990234375,266.6499938964844,668500.0,-0.1573,negative
269.45001220703125,270.05999755859375,265.1099853515625,267.6600036621094,916100.0,-0.1329,negative
270.92999267578125,273.0799865722656,268.5,270.1600036621094,1145900.0,-0.1303,negative
271.0899963378906,272.0799865722656,264.760009765625,267.7200012207031,2560300.0,-0.1253,negative
272.1600036621094,277.1000061035156,254.00999450683594,258.6199951171875,3669700.0,-0.1229,negative
277.6199951171875,281.6199951171875,272.260009765625,272.5,1446900.0,-0.233,negative
272.2099914550781,276.8399963378906,271.8999938964844,274.1600036621094,960400.0,-0.2629,negative
267.6199951171875,274.8299865722656,266.6600036621094,272.1700134277344,1185200.0,-0.2437,negative
264.6099853515625,268.989990234375,262.989990234375,267.6400146484375,1379200.0,-0.2489,negative
269.6400146484375,271.9599914550781,264.510009765625,266.5400085449219,1073400.0,-0.2338,negative
271.1300048828125,272.4800109863281,269.3599853515625,270.30999755859375,913100.0,-0.2314,negative
