"('Close', 'AOS')","('High', 'AOS')","('Low', 'AOS')","('Open', 'AOS')","('Volume', 'AOS')",sentiment_score,sentiment_label
64.86923217773438,65.16771329014846,64.07329519578015,64.75978960922855,1598100.0,-0.0498,neutral
63.52607727050781,65.25724784820395,63.396739513844736,64.172781235202,1478800.0,-0.0488,neutral
62.54110336303711,63.69521457968233,62.12323210601161,63.63552139678211,1448900.0,-0.0488,neutral
62.81968307495117,63.36689210405472,62.610749339440794,62.65054732582702,1376100.0,-0.0488,neutral
61.396934509277344,62.46150592659566,61.03876023890021,62.30231778368857,1272900.0,-0.0639,negative
63.635520935058594,63.695214117525694,61.70536419661213,61.98394250237797,1912500.0,-0.0639,negative
63.48628616333008,65.23735581829183,63.29724762536983,64.87918153094071,1449900.0,-0.0817,negative
64.9687271118164,65.237354024599,62.978869592871604,63.91409947663949,1261000.0,-0.0786,negative
64.66029357910156,65.00851645697188,64.09318558065864,64.74984094237647,1298800.0,-0.0786,negative
64.45136260986328,65.12791319753802,63.93400396784837,64.87918147546186,1689100.0,-0.0638,negative
66.67999267578125,67.8341114398462,65.95370034209323,65.98354693242433,2687800.0,-0.0619,negative
67.86000061035156,68.22000122070312,65.79000091552734,66.9000015258789,2030500.0,-0.0317,neutral
67.41000366210938,68.4800033569336,67.08000183105469,68.2300033569336,1576800.0,-0.0142,neutral
68.44999694824219,68.87999725341797,67.61000061035156,67.80999755859375,877200.0,-0.0141,neutral
68.33999633789062,68.75,67.75,67.97000122070312,1277500.0,-0.0239,neutral
67.47000122070312,68.2699966430664,67.4000015258789,67.69999694824219,936700.0,-0.0237,neutral
66.93000030517578,67.97000122070312,66.70999908447266,67.61000061035156,1515900.0,-0.0234,neutral
68.01000213623047,68.58000183105469,67.2300033569336,67.44000244140625,1185800.0,-0.0229,neutral
68.29000091552734,68.44000244140625,68.0,68.18000030517578,728900.0,-0.0229,neutral
