"('Close', 'ALL')","('High', 'ALL')","('Low', 'ALL')","('Open', 'ALL')","('Volume', 'ALL')",sentiment_score,sentiment_label
195.5,197.44000244140625,193.3699951171875,194.22000122070312,1631900.0,-0.1446,negative
194.5399932861328,197.9199981689453,194.33999633789062,196.2100067138672,1691600.0,-0.1598,negative
194.24000549316406,197.72000122070312,192.9199981689453,196.0800018310547,1596100.0,-0.1746,negative
194.66000366210938,196.8300018310547,193.16000366210938,195.8000030517578,1905800.0,-0.1708,negative
186.9499969482422,192.99000549316406,184.6199951171875,192.05999755859375,1296100.0,-0.1672,negative
193.89999389648438,194.47999572753906,188.9499969482422,190.4199981689453,1499300.0,-0.1793,negative
194.72999572753906,196.41000366210938,192.85000610351562,194.6999969482422,1137700.0,-0.1537,negative
194.86000061035156,195.88999938964844,192.33999633789062,193.89999389648438,914300.0,-0.1507,negative
192.91000366210938,194.86000061035156,190.6300048828125,194.74000549316406,1156100.0,-0.1478,negative
195.41000366210938,195.6300048828125,192.33999633789062,193.66000366210938,1504100.0,-0.1478,negative
198.7899932861328,199.35000610351562,194.72999572753906,194.74000549316406,1462300.0,-0.1478,negative
198.38999938964844,198.61000061035156,194.52999877929688,197.72999572753906,2307700.0,-0.1325,negative
197.24000549316406,198.3800048828125,192.52000427246094,194.69000244140625,2985100.0,-0.1419,negative
199.3000030517578,200.75999450683594,196.41000366210938,198.1300048828125,1508500.0,-0.1515,negative
200.25,201.49000549316406,197.16000366210938,198.6699981689453,1292700.0,-0.1606,negative
202.05999755859375,202.58999633789062,199.6199951171875,200.0,1119900.0,-0.1445,negative
204.07000732421875,204.55999755859375,202.0800018310547,202.75,1170000.0,-0.1445,negative
202.6199951171875,206.11000061035156,202.5500030517578,203.55999755859375,1185900.0,-0.1008,negative
202.63999938964844,203.27999877929688,202.11000061035156,202.6199951171875,707200.0,-0.0969,negative
