"('Close', 'AFL')","('High', 'AFL')","('Low', 'AFL')","('Open', 'AFL')","('Volume', 'AFL')",sentiment_score,sentiment_label
108.51000213623047,109.83999633789062,106.88999938964844,107.7699966430664,2004100.0,0.0751,positive
108.02999877929688,109.5,107.80999755859375,109.01000213623047,1228500.0,0.0751,positive
107.33999633789062,109.05999755859375,106.79000091552734,108.72000122070312,2240200.0,0.0751,positive
107.44000244140625,109.2300033569336,107.01000213623047,107.83000183105469,2294700.0,0.0751,positive
104.97000122070312,107.5199966430664,103.4800033569336,106.86000061035156,1692500.0,0.0847,positive
108.30999755859375,108.66000366210938,106.02999877929688,106.56999969482422,1545700.0,0.0847,positive
108.43000030517578,110.30999755859375,107.86000061035156,108.55000305175781,1552300.0,0.0847,positive
109.13999938964844,109.33000183105469,107.55999755859375,108.48999786376953,1613700.0,0.0996,positive
107.94000244140625,109.02999877929688,106.69000244140625,108.83000183105469,1829700.0,0.0849,positive
108.48999786376953,109.18000030517578,107.41999816894531,108.30000305175781,1756300.0,0.0925,positive
108.5999984741211,108.86000061035156,107.61000061035156,108.0,1275800.0,0.0925,positive
108.68000030517578,108.91000366210938,105.91999816894531,107.68000030517578,2713200.0,0.0897,positive
103.5199966430664,106.54000091552734,103.0999984741211,105.5,3391200.0,0.0482,neutral
105.52999877929688,106.04000091552734,103.97000122070312,104.36000061035156,1886200.0,-0.0038,neutral
105.75,106.5,104.5,105.20999908447266,2002800.0,0.0157,neutral
105.9000015258789,106.6500015258789,104.75,105.56999969482422,1443300.0,0.0157,neutral
106.95999908447266,107.41999816894531,105.69999694824219,106.1500015258789,2028700.0,0.0591,positive
106.30000305175781,107.97000122070312,105.98999786376953,106.79000091552734,1926200.0,0.0657,positive
105.97000122070312,107.23999786376953,105.87999725341797,106.45999908447266,1353100.0,0.0637,positive
