"('Close', 'GOOGL')","('High', 'GOOGL')","('Low', 'GOOGL')","('Open', 'GOOGL')","('Volume', 'GOOGL')",sentiment_score,sentiment_label
159.07000732421875,161.72000122070312,157.55999755859375,160.0,30333000.0,0.0197,neutral
156.30999755859375,159.64999389648438,155.2100067138672,159.1300048828125,27551500.0,0.0193,neutral
153.3300018310547,155.88999938964844,151.50999450683594,153.10000610351562,28187400.0,0.0193,neutral
151.16000366210938,154.67999267578125,148.5,154.2899932861328,32938500.0,0.0189,neutral
147.6699981689453,148.9499969482422,146.10000610351562,148.8800048828125,26049100.0,0.0015,neutral
151.47000122070312,152.19000244140625,148.5399932861328,148.88999938964844,26971800.0,0.0014,neutral
155.35000610351562,157.52999877929688,153.80999755859375,155.61000061035156,31128800.0,0.0014,neutral
159.27999877929688,159.58999633789062,155.7899932861328,156.14999389648438,45894000.0,0.0014,neutral
161.9600067138672,166.10000610351562,161.0399932861328,165.07000732421875,56034000.0,0.0159,neutral
160.61000061035156,163.14999389648438,158.60000610351562,162.42999267578125,29745800.0,0.0774,positive
160.16000366210938,160.74000549316406,157.52000427246094,160.32000732421875,26809000.0,0.0774,positive
158.8000030517578,159.27000427246094,155.39999389648438,157.97999572753906,34981100.0,0.0627,positive
161.3000030517578,161.9499969482422,158.91000366210938,160.4499969482422,30203200.0,0.0506,positive
164.02999877929688,164.97000122070312,161.8699951171875,163.41000366210938,25715000.0,0.0499,neutral
164.2100067138672,165.38999938964844,162.72000122070312,163.0,21341800.0,0.0419,neutral
163.22999572753906,164.8000030517578,161.19000244140625,162.1699981689453,21277200.0,0.0407,neutral
151.3800048828125,165.0,147.83999633789062,164.0800018310547,127490100.0,0.0463,neutral
154.27999877929688,155.92999267578125,152.89999389648438,155.0,57498700.0,0.0144,neutral
152.75,155.0500030517578,152.1999969482422,154.1699981689453,32376800.0,-0.0214,neutral
