"('Close', 'ALGN')","('High', 'ALGN')","('Low', 'ALGN')","('Open', 'ALGN')","('Volume', 'ALGN')",sentiment_score,sentiment_label
165.6199951171875,168.8800048828125,163.4499969482422,166.4199981689453,1090700.0,0.0712,positive
164.14999389648438,167.11000061035156,162.27000427246094,165.88999938964844,734600.0,0.0712,positive
167.17999267578125,168.97000122070312,162.32000732421875,162.7100067138672,1527600.0,0.0712,positive
171.41000366210938,171.75999450683594,165.99000549316406,167.36000061035156,816200.0,0.0712,positive
172.22000122070312,172.24000549316406,167.42999267578125,168.9600067138672,1609400.0,0.0872,positive
173.8699951171875,175.39999389648438,171.63999938964844,174.11000061035156,1357600.0,0.0872,positive
177.22999572753906,186.27999877929688,176.67999267578125,180.36000061035156,1035100.0,0.0739,positive
184.27000427246094,184.4600067138672,176.3699951171875,178.16000366210938,976100.0,0.0556,positive
183.35000610351562,184.5,180.0,181.50999450683594,1162700.0,0.0754,positive
181.08999633789062,185.02000427246094,178.9199981689453,183.91000366210938,1037900.0,0.048,neutral
177.75,181.63999938964844,174.27000427246094,181.55999755859375,1413500.0,0.0472,neutral
173.3000030517578,177.5,171.17999267578125,176.0800018310547,2550100.0,0.0458,neutral
176.74000549316406,191.61000061035156,176.5,190.0,2693300.0,0.0389,neutral
179.82000732421875,185.0,177.1300048828125,180.13999938964844,1386800.0,0.0597,positive
177.61000061035156,180.17999267578125,176.94000244140625,177.92999267578125,920500.0,0.0692,positive
173.07000732421875,182.64999389648438,172.9199981689453,177.66000366210938,1447700.0,0.0794,positive
172.22000122070312,174.7100067138672,168.3800048828125,172.66000366210938,1171200.0,0.0819,positive
180.92999267578125,184.39999389648438,174.0,174.00999450683594,1016400.0,0.0802,positive
181.8800048828125,184.4499969482422,181.02999877929688,181.1199951171875,805000.0,0.0881,positive
